<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,150200,119.7600000,119.7800000,119.7500000,119.7800000,700
US1.IBM,1,20200714,150300,119.7600000,119.7600000,119.6800000,119.7000000,600
US1.IBM,1,20200714,150400,119.7100000,119.7300000,119.5800000,119.5900000,1300
US1.IBM,1,20200714,150500,119.5400000,119.6000000,119.5300000,119.5800000,800
US1.IBM,1,20200714,150600,119.5100000,119.5500000,119.5100000,119.5100000,500
US1.IBM,1,20200714,150800,119.7000000,119.7000000,119.6700000,119.6700000,200
US1.IBM,1,20200714,150900,119.7400000,119.7400000,119.7400000,119.7400000,100
US1.IBM,1,20200714,151000,119.7350000,119.7400000,119.6800000,119.6800000,300
US1.IBM,1,20200714,151100,119.7400000,119.7400000,119.7400000,119.7400000,100
US1.IBM,1,20200714,151200,119.7500000,119.8000000,119.7300000,119.8000000,500
US1.IBM,1,20200714,151300,119.7300000,119.7500000,119.7300000,119.7500000,200
US1.IBM,1,20200714,151400,119.8000000,119.8000000,119.8000000,119.8000000,100
US1.IBM,1,20200714,151500,119.7100000,119.7600000,119.7100000,119.7400000,400
US1.IBM,1,20200714,151600,119.6800000,119.7000000,119.6500000,119.6500000,400
US1.IBM,1,20200714,151700,119.6700000,119.6800000,119.6700000,119.6800000,200
US1.IBM,1,20200714,151800,119.6500000,119.6900000,119.6500000,119.6900000,400
US1.IBM,1,20200714,151900,119.6900000,119.7300000,119.6700000,119.6700000,600
US1.IBM,1,20200714,152000,119.7600000,119.7600000,119.7400000,119.7400000,200
US1.IBM,1,20200714,152100,119.7600000,119.8500000,119.7600000,119.8500000,1500
US1.IBM,1,20200714,152200,119.8200000,120.0000000,119.8200000,119.9600000,1833
